epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6947,1.11059,1.91874,1.09423,0.52165,0.56961,0.56444,0.41431,0.86817,2.08056,1.04295,0.000367944,0.000367944,0.000367944
2,75.1913,1.16339,1.40742,1.13553,0.73019,0.51345,0.58159,0.40556,0.97236,1.66919,1.13641,0.00072366,0.00072366,0.00072366
3,115.381,1.10705,1.28032,1.12602,0.41747,0.59155,0.4824,0.30869,1.06119,2.04975,1.2379,0.00106471,0.00106471,0.00106471
4,155.872,1.0608,1.20996,1.11494,0.75916,0.53204,0.63518,0.48747,0.80953,1.24112,1.04982,0.00104501,0.00104501,0.00104501
5,198.011,1.0558,1.18562,1.11804,0.6949,0.54577,0.60944,0.43807,1.05413,1.2257,1.16322,0.00102301,0.00102301,0.00102301
6,239.505,1.03577,1.13912,1.11168,0.70181,0.54454,0.61154,0.43593,0.99079,1.23601,1.13311,0.00100101,0.00100101,0.00100101
7,280.901,1.00109,1.05789,1.09056,0.7359,0.55617,0.65769,0.47597,0.9125,1.08306,1.1284,0.000979013,0.000979013,0.000979013
8,321.657,0.9931,1.03402,1.09056,0.76764,0.4497,0.67786,0.54162,0.74503,1.30461,1.02817,0.000957015,0.000957015,0.000957015
9,361.527,0.95393,0.98929,1.06696,0.82029,0.59821,0.70372,0.55576,0.75612,0.90951,1.01725,0.000935018,0.000935018,0.000935018
10,401.581,0.93584,0.95397,1.06211,0.74441,0.56735,0.69983,0.54013,0.83412,1.0337,1.05971,0.00091302,0.00091302,0.00091302
11,439.029,0.93536,0.93971,1.05885,0.66307,0.63587,0.6957,0.53825,0.78381,1.0702,1.01746,0.000891022,0.000891022,0.000891022
12,479.058,0.91467,0.91126,1.05141,0.86496,0.58061,0.72417,0.57305,0.72519,0.93641,1.01287,0.000869024,0.000869024,0.000869024
13,521.627,0.89619,0.88324,1.0393,0.83013,0.61828,0.71205,0.57239,0.6699,1.08398,0.99921,0.000847026,0.000847026,0.000847026
14,563.065,0.89905,0.90109,1.05784,0.83869,0.65454,0.74576,0.61346,0.64356,0.8022,0.96784,0.000825029,0.000825029,0.000825029
15,605.462,0.85127,0.8306,1.03437,0.79536,0.63771,0.71056,0.57802,0.6492,0.89507,0.97484,0.000803031,0.000803031,0.000803031
16,646.644,0.87452,0.835,1.04059,0.89951,0.63045,0.73985,0.60606,0.62135,0.75942,0.96778,0.000781033,0.000781033,0.000781033
17,687.711,0.86474,0.83758,1.0401,0.87519,0.62037,0.7042,0.55722,0.73015,0.79414,1.01374,0.000759035,0.000759035,0.000759035
