epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3999.91,0.6597,0.61393,0.91278,0.6991,0.6847,0.7007,0.61217,0.46184,0.54326,0.87702,0.007921,0.007921,0.007921
44,4092.89,0.65794,0.62249,0.91593,0.62344,0.5634,0.59422,0.46773,0.6881,1.24212,0.9882,0.0078715,0.0078715,0.0078715
45,4186.2,0.64965,0.6103,0.91075,0.58815,0.6488,0.60513,0.51306,0.55124,0.65575,0.90317,0.007822,0.007822,0.007822
46,4279.08,0.6491,0.60809,0.90763,0.63654,0.73022,0.70726,0.59857,0.53961,0.57732,0.90531,0.0077725,0.0077725,0.0077725
47,4372.2,0.6555,0.60208,0.91506,0.53085,0.45727,0.47271,0.35538,0.7861,1.40314,1.03539,0.007723,0.007723,0.007723
48,4465.1,0.65037,0.6105,0.90985,0.73378,0.70544,0.71034,0.61667,0.4528,0.57232,0.87331,0.0076735,0.0076735,0.0076735
49,4558.09,0.63588,0.59225,0.90302,0.64035,0.73731,0.69542,0.61581,0.44672,0.55895,0.86523,0.007624,0.007624,0.007624
50,4651.05,0.6383,0.595,0.90864,0.65231,0.62745,0.64835,0.52641,0.63633,0.83979,0.95111,0.0075745,0.0075745,0.0075745
51,4743.88,0.63777,0.59403,0.90862,0.70806,0.72385,0.70936,0.6317,0.42755,0.56252,0.86377,0.007525,0.007525,0.007525
52,4837.12,0.65117,0.60018,0.91498,0.55781,0.72305,0.64704,0.56127,0.46878,0.67495,0.87592,0.0074755,0.0074755,0.0074755
53,4929.91,0.634,0.58822,0.90688,0.74163,0.73133,0.75927,0.67226,0.42585,0.50238,0.86156,0.007426,0.007426,0.007426
54,5023.25,0.6333,0.5908,0.90447,0.67735,0.74933,0.71329,0.63382,0.41532,0.52755,0.85872,0.0073765,0.0073765,0.0073765
55,5115.89,0.62068,0.57614,0.89932,0.64418,0.70727,0.65991,0.5891,0.43879,0.63679,0.86489,0.007327,0.007327,0.007327
56,5208.91,0.62676,0.58564,0.90318,0.68704,0.72138,0.7082,0.62855,0.41953,0.57141,0.86341,0.0072775,0.0072775,0.0072775
57,5301.69,0.62664,0.58907,0.9062,0.7628,0.73727,0.72317,0.6507,0.40676,0.52379,0.85922,0.007228,0.007228,0.007228
58,5394.46,0.61935,0.56805,0.89906,0.67431,0.77163,0.73883,0.65111,0.42745,0.50806,0.86337,0.0071785,0.0071785,0.0071785
59,5487.63,0.61927,0.57684,0.89816,0.68461,0.7236,0.71384,0.60847,0.48386,0.58433,0.87821,0.007129,0.007129,0.007129
60,5580.52,0.61844,0.57671,0.90101,0.67974,0.71585,0.68393,0.5922,0.49161,0.61694,0.88217,0.0070795,0.0070795,0.0070795
61,5673.43,0.61881,0.57342,0.89945,0.67834,0.75421,0.71242,0.63415,0.41836,0.53593,0.85789,0.00703,0.00703,0.00703
62,5766.3,0.61653,0.5737,0.89811,0.66412,0.745,0.71844,0.63774,0.44019,0.53104,0.86512,0.0069805,0.0069805,0.0069805
63,5859.06,0.62089,0.57366,0.89904,0.5603,0.56841,0.56606,0.46166,0.60874,0.77639,0.93566,0.006931,0.006931,0.006931
64,5952.05,0.62083,0.56943,0.90076,0.74235,0.75896,0.73995,0.66601,0.4072,0.48667,0.85767,0.0068815,0.0068815,0.0068815
65,6044.88,0.60618,0.55901,0.89574,0.61218,0.77343,0.69452,0.61824,0.41061,0.56272,0.85887,0.006832,0.006832,0.006832
66,6137.63,0.60895,0.56516,0.89574,0.70372,0.77756,0.74431,0.66599,0.39279,0.49458,0.84995,0.0067825,0.0067825,0.0067825
67,6230.45,0.61348,0.56139,0.89494,0.76977,0.7336,0.72138,0.63703,0.41655,0.52705,0.86031,0.006733,0.006733,0.006733
68,6323.54,0.60569,0.55535,0.90064,0.70309,0.65156,0.69212,0.59992,0.51784,0.61567,0.89408,0.0066835,0.0066835,0.0066835
69,6416.33,0.61071,0.56025,0.89697,0.79169,0.70294,0.6911,0.6189,0.41433,0.56913,0.85779,0.006634,0.006634,0.006634
70,6509.09,0.59983,0.54532,0.88954,0.72586,0.76927,0.74623,0.65467,0.44487,0.49469,0.86671,0.0065845,0.0065845,0.0065845
71,6601.74,0.60601,0.54819,0.89497,0.7502,0.7448,0.73809,0.66363,0.4126,0.51309,0.85691,0.006535,0.006535,0.006535
72,6694.45,0.61677,0.55729,0.90172,0.75188,0.69379,0.71875,0.63445,0.41884,0.52882,0.86054,0.0064855,0.0064855,0.0064855
73,6787.13,0.59953,0.55286,0.89611,0.65245,0.75587,0.71263,0.62985,0.41466,0.52315,0.85954,0.006436,0.006436,0.006436
74,6879.75,0.60641,0.54691,0.89557,0.73119,0.72733,0.72636,0.63321,0.44597,0.56473,0.86909,0.0063865,0.0063865,0.0063865
75,6972.48,0.60329,0.54668,0.89771,0.62219,0.78168,0.72203,0.64042,0.40602,0.53797,0.86005,0.006337,0.006337,0.006337
76,7065.32,0.5923,0.53499,0.89215,0.65516,0.78814,0.74193,0.66313,0.40108,0.48031,0.8584,0.0062875,0.0062875,0.0062875
77,7158.23,0.59233,0.54141,0.89227,0.72405,0.74042,0.73593,0.65652,0.40381,0.49489,0.8581,0.006238,0.006238,0.006238
78,7251.09,0.58655,0.53914,0.88813,0.66944,0.76927,0.73605,0.64997,0.41562,0.51055,0.86589,0.0061885,0.0061885,0.0061885
79,7343.89,0.5926,0.54349,0.89304,0.65982,0.79108,0.74022,0.65465,0.41173,0.48418,0.86253,0.006139,0.006139,0.006139
80,7436.44,0.58267,0.53215,0.89262,0.70843,0.7372,0.72722,0.64388,0.42125,0.50544,0.86412,0.0060895,0.0060895,0.0060895
81,7529.25,0.58959,0.53629,0.89438,0.67218,0.7685,0.72546,0.64477,0.41192,0.50117,0.85716,0.00604,0.00604,0.00604
82,7621.79,0.59274,0.53254,0.89009,0.71298,0.71988,0.71633,0.64583,0.3963,0.51153,0.85455,0.0059905,0.0059905,0.0059905
83,7714.49,0.59434,0.54558,0.89055,0.75649,0.74629,0.72733,0.65072,0.3951,0.50213,0.85816,0.005941,0.005941,0.005941
84,7807.08,0.60019,0.53625,0.89589,0.71014,0.76326,0.73809,0.64587,0.41776,0.51112,0.86457,0.0058915,0.0058915,0.0058915
85,7899.67,0.58512,0.52829,0.88984,0.7378,0.7377,0.73507,0.64633,0.43957,0.51409,0.86545,0.005842,0.005842,0.005842
86,7992.38,0.58611,0.53576,0.89312,0.68999,0.69974,0.72392,0.64224,0.40616,0.51336,0.85748,0.0057925,0.0057925,0.0057925
87,8084.85,0.58326,0.51469,0.8888,0.69792,0.74381,0.73813,0.66052,0.39378,0.49964,0.85198,0.005743,0.005743,0.005743
88,8177.54,0.58593,0.5325,0.89061,0.69199,0.76021,0.73207,0.65124,0.40096,0.48877,0.85624,0.0056935,0.0056935,0.0056935
89,8270.4,0.58693,0.519,0.89104,0.74479,0.75442,0.74035,0.66244,0.39514,0.48141,0.85626,0.005644,0.005644,0.005644
90,8363.01,0.57535,0.51582,0.88536,0.71532,0.74501,0.70518,0.62926,0.40134,0.53632,0.85806,0.0055945,0.0055945,0.0055945
91,8455.79,0.57683,0.51584,0.88374,0.79444,0.71624,0.7239,0.63768,0.42711,0.51989,0.86699,0.005545,0.005545,0.005545
92,8548.49,0.579,0.5143,0.88445,0.67978,0.76034,0.72296,0.64413,0.39582,0.50613,0.85825,0.0054955,0.0054955,0.0054955
93,8641.19,0.57545,0.51444,0.88764,0.65389,0.73951,0.68457,0.60089,0.42524,0.57812,0.86741,0.005446,0.005446,0.005446
94,8734.03,0.57509,0.50132,0.88724,0.65713,0.75165,0.70453,0.63079,0.3976,0.53336,0.85849,0.0053965,0.0053965,0.0053965
95,8826.8,0.5755,0.50907,0.88641,0.66622,0.77333,0.728,0.65453,0.37782,0.4915,0.85069,0.005347,0.005347,0.005347
96,8920.03,0.57585,0.50744,0.88672,0.68872,0.77048,0.75028,0.66986,0.39533,0.48332,0.85664,0.0052975,0.0052975,0.0052975
97,9013.26,0.57396,0.50854,0.88612,0.75703,0.73227,0.73543,0.65068,0.4119,0.49263,0.86488,0.005248,0.005248,0.005248
98,9106.41,0.57111,0.51057,0.88488,0.75988,0.72678,0.73998,0.6655,0.38934,0.4897,0.85797,0.0051985,0.0051985,0.0051985
99,9199.73,0.57322,0.51202,0.887,0.68325,0.77872,0.73054,0.65368,0.40221,0.49352,0.8616,0.005149,0.005149,0.005149
100,9292.29,0.56846,0.50223,0.88232,0.70703,0.78945,0.74872,0.67101,0.39426,0.47904,0.85717,0.0050995,0.0050995,0.0050995
101,9384.96,0.56365,0.50192,0.8807,0.68239,0.7718,0.74044,0.65866,0.3946,0.48859,0.86065,0.00505,0.00505,0.00505
102,9477.54,0.56173,0.49847,0.87814,0.75385,0.73644,0.73031,0.65143,0.40196,0.50259,0.8617,0.0050005,0.0050005,0.0050005
103,9570.28,0.56159,0.49811,0.885,0.7594,0.72751,0.71236,0.63129,0.41132,0.51351,0.86506,0.004951,0.004951,0.004951
104,9662.84,0.56823,0.49767,0.88546,0.75111,0.7551,0.73472,0.65754,0.38974,0.48712,0.85694,0.0049015,0.0049015,0.0049015
105,9755.55,0.55584,0.49018,0.88067,0.66973,0.80191,0.74146,0.66209,0.40859,0.49276,0.85932,0.004852,0.004852,0.004852
106,9848.22,0.56325,0.49198,0.87997,0.71776,0.75727,0.74649,0.66505,0.39977,0.47888,0.85993,0.0048025,0.0048025,0.0048025
107,9940.99,0.56167,0.50164,0.88228,0.75751,0.7487,0.74532,0.66808,0.3892,0.47415,0.85672,0.004753,0.004753,0.004753
108,10033.6,0.56524,0.49795,0.88052,0.68814,0.75359,0.73637,0.66237,0.38898,0.49565,0.8521,0.0047035,0.0047035,0.0047035
109,10126.9,0.55159,0.49049,0.8765,0.75337,0.72128,0.72486,0.65247,0.38867,0.49022,0.85192,0.004654,0.004654,0.004654
110,10219.8,0.55581,0.48798,0.87769,0.69635,0.77365,0.72248,0.64896,0.39356,0.48661,0.85467,0.0046045,0.0046045,0.0046045
111,10312.6,0.55578,0.48575,0.87894,0.70804,0.75116,0.71477,0.63833,0.40049,0.50297,0.85797,0.004555,0.004555,0.004555
112,10405.5,0.55246,0.48503,0.87713,0.7324,0.74091,0.73026,0.65386,0.39814,0.48344,0.85878,0.0045055,0.0045055,0.0045055
113,10498.3,0.55938,0.48453,0.87829,0.65085,0.79814,0.73654,0.65875,0.39041,0.49271,0.853,0.004456,0.004456,0.004456
114,10590.9,0.55579,0.48398,0.88013,0.65707,0.80568,0.73865,0.65612,0.40124,0.49221,0.85752,0.0044065,0.0044065,0.0044065
115,10683.5,0.5598,0.4852,0.87989,0.65064,0.79295,0.73302,0.66014,0.38751,0.49117,0.85258,0.004357,0.004357,0.004357
116,10776.3,0.55504,0.47932,0.87885,0.75277,0.72511,0.73765,0.66023,0.39686,0.49367,0.85431,0.0043075,0.0043075,0.0043075
117,10869.1,0.55015,0.47542,0.87446,0.75022,0.73629,0.75145,0.67327,0.38842,0.47729,0.85496,0.004258,0.004258,0.004258
118,10962.3,0.55979,0.4783,0.88119,0.66693,0.78337,0.74214,0.6683,0.38217,0.48272,0.85268,0.0042085,0.0042085,0.0042085
119,11054.9,0.55501,0.47442,0.87748,0.7567,0.72666,0.74491,0.65925,0.40133,0.48327,0.86073,0.004159,0.004159,0.004159
