epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7719,1.11059,1.91874,1.09423,0.52165,0.56961,0.56444,0.41431,0.86817,2.08056,1.04295,0.000367944,0.000367944,0.000367944
2,74.4265,1.15118,1.40675,1.12355,0.61994,0.60306,0.62977,0.44182,0.94667,1.43147,1.10574,0.000730968,0.000730968,0.000730968
3,113.327,1.09456,1.30496,1.11365,0.59404,0.5578,0.58797,0.40129,1.07051,1.56637,1.15957,0.00108666,0.00108666,0.00108666
4,150.925,1.0864,1.25715,1.10775,0.74254,0.517,0.6188,0.44339,0.9328,1.3645,1.1097,0.001078,0.001078,0.001078
5,190.101,1.06801,1.23719,1.10777,0.52738,0.31923,0.36887,0.25395,1.18909,2.34179,1.28614,0.001067,0.001067,0.001067
6,227.944,1.03789,1.15621,1.09768,0.62936,0.41054,0.44209,0.28583,1.29847,1.67762,1.30337,0.00105601,0.00105601,0.00105601
7,265.755,1.01723,1.09266,1.08747,0.66671,0.46622,0.53467,0.36941,1.08851,1.38029,1.18143,0.00104501,0.00104501,0.00104501
8,303.232,1.01021,1.05744,1.0863,0.77281,0.62512,0.68387,0.54805,0.68866,1.06135,0.98558,0.00103401,0.00103401,0.00103401
9,342.178,0.96355,0.99505,1.06776,0.85011,0.59724,0.71317,0.5656,0.70742,0.93782,0.98889,0.00102301,0.00102301,0.00102301
10,380.936,0.95392,0.97723,1.06203,0.71359,0.53467,0.61044,0.45498,0.87517,1.14948,1.08697,0.00101201,0.00101201,0.00101201
11,418.855,0.95838,0.96312,1.0653,0.83185,0.63901,0.71803,0.56515,0.76195,0.90552,1.01909,0.00100101,0.00100101,0.00100101
12,458.146,0.922,0.90988,1.04968,0.6354,0.73004,0.7536,0.60677,0.66009,0.77674,0.97253,0.000990012,0.000990012,0.000990012
13,497.172,0.9095,0.92012,1.03839,0.6795,0.56774,0.62042,0.46767,0.9003,1.14773,1.07113,0.000979013,0.000979013,0.000979013
14,534.705,0.91391,0.91637,1.05418,0.76559,0.48837,0.59213,0.40811,1.02163,1.22519,1.19914,0.000968014,0.000968014,0.000968014
15,571.378,0.88559,0.87578,1.03843,0.74642,0.605,0.68134,0.551,0.69071,1.09604,0.99406,0.000957015,0.000957015,0.000957015
16,608,0.88796,0.88477,1.03829,0.88218,0.62694,0.71886,0.54191,0.77918,0.876,1.04768,0.000946016,0.000946016,0.000946016
17,644.651,0.87924,0.8759,1.04227,0.83882,0.63379,0.71971,0.5937,0.64022,0.8001,0.97628,0.000935018,0.000935018,0.000935018
18,681.433,0.883,0.86519,1.0425,0.7406,0.67085,0.71828,0.55826,0.80369,0.83542,1.0727,0.000924019,0.000924019,0.000924019
19,719.455,0.86336,0.82723,1.03427,0.7051,0.69582,0.73366,0.57987,0.70042,0.88735,1.00488,0.00091302,0.00091302,0.00091302
20,757.18,0.84048,0.80725,1.01173,0.6977,0.63452,0.68153,0.52358,0.76938,0.90737,1.03669,0.000902021,0.000902021,0.000902021
21,794.554,0.84089,0.80826,1.01363,0.73202,0.71437,0.73481,0.58901,0.69445,0.81037,1.01105,0.000891022,0.000891022,0.000891022
22,832.476,0.84696,0.81799,1.02418,0.7856,0.66003,0.72993,0.59175,0.66843,0.80065,0.98383,0.000880023,0.000880023,0.000880023
23,870.112,0.84321,0.7907,1.02163,0.84449,0.58452,0.70645,0.58219,0.64647,0.87921,0.97921,0.000869024,0.000869024,0.000869024
24,906.749,0.82009,0.78826,1.00731,0.71471,0.7735,0.78551,0.64198,0.67825,0.71318,0.99492,0.000858025,0.000858025,0.000858025
25,944.325,0.82908,0.76268,1.01417,0.74752,0.70792,0.72185,0.59861,0.59105,0.76514,0.94112,0.000847026,0.000847026,0.000847026
26,981.607,0.79157,0.74829,0.99257,0.67799,0.67433,0.72477,0.60686,0.57728,0.86543,0.94847,0.000836027,0.000836027,0.000836027
27,1019.44,0.80922,0.76577,0.99595,0.61895,0.74768,0.74865,0.61311,0.64609,0.77117,0.96408,0.000825029,0.000825029,0.000825029
28,1056.63,0.79316,0.74358,1.00787,0.68794,0.63266,0.68569,0.54546,0.6904,0.96041,1.01375,0.00081403,0.00081403,0.00081403
29,1093.42,0.79376,0.73529,0.99373,0.80991,0.65924,0.74132,0.62239,0.5825,0.77222,0.9543,0.000803031,0.000803031,0.000803031
30,1130.7,0.7813,0.72547,0.99499,0.69717,0.72858,0.76458,0.63789,0.60012,0.80602,0.96713,0.000792032,0.000792032,0.000792032
31,1167.62,0.778,0.72103,0.99232,0.67592,0.73981,0.79267,0.6498,0.65442,0.8338,0.98124,0.000781033,0.000781033,0.000781033
32,1206.13,0.78905,0.72675,0.98899,0.84248,0.6062,0.70733,0.58429,0.65952,0.85659,0.9635,0.000770034,0.000770034,0.000770034
33,1243.93,0.77857,0.72381,0.99452,0.65504,0.58204,0.61481,0.4912,0.74735,1.51589,1.04991,0.000759035,0.000759035,0.000759035
34,1281.26,0.77027,0.69791,0.98745,0.82671,0.61281,0.7164,0.59169,0.62077,0.79391,0.98085,0.000748036,0.000748036,0.000748036
35,1318.91,0.7772,0.70264,0.99561,0.51781,0.48894,0.47351,0.34411,1.09262,1.5259,1.26785,0.000737037,0.000737037,0.000737037
36,1356.52,0.75938,0.69166,0.98228,0.68132,0.78883,0.77303,0.66332,0.53166,0.63788,0.93224,0.000726038,0.000726038,0.000726038
37,1394.7,0.76941,0.69362,0.99363,0.75467,0.56359,0.70553,0.58708,0.58573,0.97451,0.94727,0.00071504,0.00071504,0.00071504
38,1431.89,0.76196,0.68687,0.99291,0.79035,0.56861,0.67537,0.5669,0.58838,1.28757,0.94921,0.000704041,0.000704041,0.000704041
39,1469.31,0.75438,0.68798,0.98364,0.49566,0.58335,0.564,0.43986,0.76616,1.52789,1.03671,0.000693042,0.000693042,0.000693042
40,1505.96,0.7423,0.67422,0.97454,0.57442,0.78677,0.76704,0.65097,0.54732,0.74734,0.93409,0.000682043,0.000682043,0.000682043
41,1542.77,0.74505,0.68889,0.98053,0.66926,0.71137,0.72789,0.55562,0.81273,0.83669,1.05055,0.000671044,0.000671044,0.000671044
42,1580.01,0.75001,0.65998,0.97747,0.65179,0.74592,0.7529,0.65996,0.48986,0.62969,0.91571,0.000660045,0.000660045,0.000660045
43,1617.33,0.74177,0.65643,0.98592,0.65326,0.73501,0.77328,0.66613,0.52091,0.68667,0.9287,0.000649046,0.000649046,0.000649046
44,1655.36,0.74216,0.64773,0.9751,0.6835,0.63977,0.68238,0.54573,0.76114,0.90416,1.03091,0.000638047,0.000638047,0.000638047
45,1692.47,0.74127,0.65108,0.98129,0.66512,0.74317,0.75037,0.64165,0.5245,0.63936,0.92451,0.000627048,0.000627048,0.000627048
46,1729.58,0.74078,0.66161,0.97414,0.73055,0.69559,0.7499,0.64664,0.53429,0.7196,0.9243,0.000616049,0.000616049,0.000616049
47,1767.08,0.75015,0.66602,0.98468,0.68629,0.75941,0.76893,0.67108,0.49922,0.6669,0.91124,0.000605051,0.000605051,0.000605051
48,1805.27,0.71247,0.63613,0.96928,0.61173,0.69944,0.71431,0.61738,0.51392,0.81407,0.91888,0.000594052,0.000594052,0.000594052
49,1842.6,0.73352,0.64383,0.97124,0.7735,0.60854,0.69902,0.60732,0.49817,0.83256,0.92306,0.000583053,0.000583053,0.000583053
50,1879.62,0.74981,0.64444,0.98415,0.76389,0.70664,0.74809,0.64709,0.48756,0.65585,0.90575,0.000572054,0.000572054,0.000572054
51,1916.75,0.70854,0.62671,0.96559,0.76762,0.66487,0.71635,0.61889,0.52002,0.90437,0.91307,0.000561055,0.000561055,0.000561055
