epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,570.811,0.80048,0.70363,0.94337,0.66266,0.76292,0.77504,0.65284,0.58877,0.73699,0.88618,0.000885523,0.000885523,0.000885523
43,583.803,0.80588,0.71753,0.94919,0.79217,0.75221,0.81082,0.67779,0.61386,0.73592,0.89521,0.000880023,0.000880023,0.000880023
44,596.655,0.76922,0.69783,0.93103,0.67971,0.76415,0.78037,0.65856,0.60363,0.74063,0.88742,0.000874524,0.000874524,0.000874524
45,610.091,0.80019,0.69382,0.94781,0.62669,0.70311,0.72939,0.60742,0.61951,0.82206,0.89581,0.000869024,0.000869024,0.000869024
46,623.337,0.79242,0.7071,0.94135,0.78245,0.72495,0.80364,0.67656,0.62886,0.71828,0.893,0.000863525,0.000863525,0.000863525
47,636.772,0.79208,0.70537,0.93839,0.78158,0.69343,0.7671,0.61368,0.74151,0.79147,0.92215,0.000858025,0.000858025,0.000858025
48,650.841,0.79987,0.70665,0.9436,0.80596,0.76275,0.83647,0.70383,0.58756,0.66622,0.87443,0.000852526,0.000852526,0.000852526
49,664.001,0.78108,0.69597,0.93793,0.71209,0.75571,0.77747,0.65868,0.55928,0.65798,0.87053,0.000847026,0.000847026,0.000847026
50,677.559,0.77007,0.67947,0.93528,0.67973,0.71678,0.74367,0.62746,0.58088,0.83343,0.87466,0.000841527,0.000841527,0.000841527
51,690.413,0.77023,0.69154,0.93715,0.81252,0.70458,0.78332,0.65511,0.6015,0.65196,0.88899,0.000836027,0.000836027,0.000836027
52,703.388,0.79057,0.68193,0.9405,0.721,0.79785,0.7971,0.67888,0.55246,0.66558,0.87671,0.000830528,0.000830528,0.000830528
53,716.393,0.76705,0.66522,0.93419,0.8073,0.75195,0.8081,0.68565,0.58101,0.61965,0.88114,0.000825029,0.000825029,0.000825029
54,729.369,0.77065,0.66728,0.93463,0.7284,0.70589,0.78901,0.66301,0.58399,0.76886,0.87925,0.000819529,0.000819529,0.000819529
55,742.364,0.78525,0.68588,0.9363,0.72443,0.79004,0.79929,0.67093,0.57319,0.65008,0.87454,0.00081403,0.00081403,0.00081403
56,754.896,0.77091,0.68648,0.93595,0.67658,0.70954,0.75528,0.64084,0.58152,0.74527,0.87722,0.00080853,0.00080853,0.00080853
57,767.802,0.7664,0.66895,0.93612,0.69911,0.71882,0.75334,0.6246,0.6292,0.77661,0.9054,0.000803031,0.000803031,0.000803031
58,780.732,0.75153,0.67167,0.92357,0.70617,0.74651,0.77241,0.6395,0.59078,0.7025,0.88294,0.000797531,0.000797531,0.000797531
59,793.578,0.75868,0.65547,0.93317,0.7837,0.74229,0.80604,0.67412,0.58465,0.62018,0.87914,0.000792032,0.000792032,0.000792032
60,806.454,0.74612,0.65063,0.92652,0.66606,0.71529,0.74935,0.63345,0.5742,0.80966,0.87073,0.000786532,0.000786532,0.000786532
61,819.711,0.75623,0.64643,0.92965,0.76012,0.80231,0.83162,0.70852,0.54977,0.62669,0.87861,0.000781033,0.000781033,0.000781033
62,833.058,0.76735,0.65623,0.92987,0.78007,0.76524,0.7956,0.67337,0.5735,0.63434,0.87735,0.000775534,0.000775534,0.000775534
63,846.036,0.74452,0.64131,0.92591,0.70636,0.75313,0.773,0.65482,0.57245,0.68063,0.8762,0.000770034,0.000770034,0.000770034
64,858.998,0.75423,0.64174,0.92563,0.81505,0.75765,0.81917,0.69235,0.57155,0.64589,0.88635,0.000764535,0.000764535,0.000764535
65,871.773,0.76344,0.65175,0.92862,0.73683,0.75403,0.78328,0.65699,0.57953,0.69355,0.88284,0.000759035,0.000759035,0.000759035
