epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6018,1.21788,3.31815,1.0722,0.00907,0.67812,0.21931,0.14248,0.87104,3.57288,0.89686,0.000360838,0.000360838,0.000360838
2,37.4518,1.13855,2.09274,1.04058,0.89081,0.19466,0.50879,0.35179,0.96075,2.7648,0.95646,0.000723932,0.000723932,0.000723932
3,50.9666,1.10524,1.75484,1.04107,0.61794,0.42367,0.45632,0.32608,0.93802,1.82168,0.98311,0.00107969,0.00107969,0.00107969
4,63.2157,1.03399,1.49989,1.02396,0.74419,0.54357,0.57707,0.41469,0.87397,1.41975,0.97283,0.001078,0.001078,0.001078
5,76.5393,1.03084,1.41224,1.01705,0.74612,0.58985,0.64585,0.50486,0.77797,1.15004,0.93422,0.001067,0.001067,0.001067
6,89.6227,1.01392,1.27154,1.01552,0.46646,0.54029,0.52622,0.32788,1.24755,1.9104,1.15897,0.00105601,0.00105601,0.00105601
7,102.5,0.95937,1.16749,0.99595,0.67611,0.55815,0.557,0.43551,0.81067,1.35817,0.95296,0.00104501,0.00104501,0.00104501
8,115.512,0.96667,1.16612,1.00381,0.74902,0.50471,0.54674,0.3752,1.0651,1.43553,1.12078,0.00103401,0.00103401,0.00103401
9,128.668,0.93167,1.06883,0.98927,0.7186,0.56327,0.63501,0.46514,0.89535,1.22635,0.97092,0.00102301,0.00102301,0.00102301
10,141.238,0.94076,1.02394,0.99731,0.811,0.60499,0.70939,0.5498,0.7947,1.01714,0.95851,0.00101201,0.00101201,0.00101201
11,153.894,0.91678,0.99815,0.98562,0.61576,0.53495,0.53231,0.37715,1.05876,1.73808,1.04679,0.00100101,0.00100101,0.00100101
12,166.867,0.90164,0.95135,0.98333,0.63109,0.67307,0.69663,0.5362,0.78027,1.13625,0.95544,0.000990012,0.000990012,0.000990012
13,179.589,0.89925,0.94918,0.97933,0.83633,0.67908,0.72919,0.57193,0.7376,0.89792,0.92321,0.000979013,0.000979013,0.000979013
14,192.514,0.89172,0.91742,0.9825,0.59973,0.67475,0.73646,0.5634,0.79119,1.10408,0.94122,0.000968014,0.000968014,0.000968014
15,205.398,0.86721,0.88184,0.96382,0.75089,0.66385,0.72569,0.58061,0.71628,0.907,0.92371,0.000957015,0.000957015,0.000957015
16,218.112,0.88126,0.87742,0.97666,0.47076,0.54456,0.53863,0.40124,0.84064,1.4884,1.03371,0.000946016,0.000946016,0.000946016
17,230.739,0.85673,0.88136,0.96724,0.68489,0.70413,0.73982,0.60624,0.66172,0.82054,0.90169,0.000935018,0.000935018,0.000935018
18,243.772,0.86413,0.86888,0.97296,0.78993,0.65627,0.71949,0.57728,0.70429,0.87205,0.92686,0.000924019,0.000924019,0.000924019
19,256.533,0.85325,0.8317,0.9673,0.62403,0.62426,0.69113,0.55392,0.73368,1.25624,0.9587,0.00091302,0.00091302,0.00091302
20,269.362,0.85816,0.8478,0.97073,0.81309,0.6856,0.71842,0.57923,0.69769,0.81404,0.9036,0.000902021,0.000902021,0.000902021
21,281.702,0.83815,0.81445,0.95803,0.8242,0.62247,0.71001,0.58709,0.62802,0.92219,0.89397,0.000891022,0.000891022,0.000891022
22,294.498,0.82742,0.78723,0.9537,0.78175,0.66388,0.74163,0.60467,0.64895,0.78384,0.89946,0.000880023,0.000880023,0.000880023
23,307.5,0.83993,0.81199,0.96397,0.70313,0.68685,0.75297,0.63379,0.6028,0.79659,0.87978,0.000869024,0.000869024,0.000869024
24,319.937,0.83039,0.78459,0.96166,0.85607,0.66521,0.78013,0.64257,0.66886,0.79548,0.8991,0.000858025,0.000858025,0.000858025
25,332.981,0.8387,0.78509,0.95727,0.66369,0.67552,0.71392,0.5792,0.67757,0.8709,0.89969,0.000847026,0.000847026,0.000847026
26,345.004,0.83098,0.79568,0.95321,0.73428,0.69477,0.7429,0.61375,0.64024,0.7484,0.90239,0.000836027,0.000836027,0.000836027
27,357.755,0.81566,0.77146,0.95195,0.78268,0.69118,0.74336,0.5979,0.68916,0.77589,0.90376,0.000825029,0.000825029,0.000825029
28,370.549,0.80507,0.75203,0.95178,0.74397,0.7179,0.77598,0.64453,0.61725,0.69925,0.89085,0.00081403,0.00081403,0.00081403
29,383.097,0.84253,0.76613,0.96,0.78212,0.62501,0.74161,0.58189,0.74933,0.99761,0.92531,0.000803031,0.000803031,0.000803031
30,395.911,0.81099,0.73992,0.94736,0.7307,0.69715,0.73213,0.61704,0.59748,0.75873,0.88489,0.000792032,0.000792032,0.000792032
31,408.223,0.81157,0.74753,0.95613,0.75438,0.66515,0.75781,0.63388,0.63082,0.7731,0.89443,0.000781033,0.000781033,0.000781033
32,420.73,0.80155,0.72639,0.93682,0.73258,0.6883,0.75479,0.61975,0.65207,0.74078,0.89137,0.000770034,0.000770034,0.000770034
33,433.168,0.80822,0.7401,0.94822,0.66137,0.7173,0.74496,0.60679,0.68319,0.74317,0.91113,0.000759035,0.000759035,0.000759035
34,445.278,0.81294,0.73997,0.95021,0.59903,0.71447,0.68354,0.57214,0.61592,0.80602,0.88987,0.000748036,0.000748036,0.000748036
35,457.031,0.79517,0.71854,0.94427,0.72282,0.74064,0.77878,0.65464,0.57371,0.71965,0.88345,0.000737037,0.000737037,0.000737037
36,469.588,0.78056,0.71816,0.93838,0.77751,0.73463,0.77512,0.64985,0.5978,0.70623,0.89159,0.000726038,0.000726038,0.000726038
37,482.727,0.80125,0.73245,0.94741,0.73594,0.7365,0.77987,0.65942,0.5657,0.7076,0.88243,0.00071504,0.00071504,0.00071504
38,494.99,0.80732,0.7251,0.95115,0.64685,0.74187,0.75539,0.63772,0.58684,0.70518,0.88743,0.000704041,0.000704041,0.000704041
39,507.167,0.79049,0.71437,0.94151,0.7866,0.75925,0.80346,0.67878,0.59163,0.68313,0.88867,0.000693042,0.000693042,0.000693042
40,519.472,0.78073,0.69004,0.93395,0.69479,0.70783,0.68279,0.56496,0.62568,0.88544,0.89142,0.000682043,0.000682043,0.000682043
41,531.894,0.77884,0.70069,0.93989,0.78451,0.68976,0.79018,0.66396,0.58637,0.73393,0.87991,0.000671044,0.000671044,0.000671044
42,544.664,0.77955,0.68386,0.93814,0.76207,0.71661,0.76893,0.64592,0.57965,0.67433,0.87937,0.000660045,0.000660045,0.000660045
43,557.401,0.78946,0.6915,0.94471,0.76957,0.75902,0.80319,0.67932,0.57033,0.64223,0.88015,0.000649046,0.000649046,0.000649046
44,569.757,0.75516,0.66433,0.92671,0.77335,0.72977,0.78874,0.67148,0.55828,0.71204,0.87115,0.000638047,0.000638047,0.000638047
45,582.029,0.78537,0.68197,0.94142,0.77935,0.72912,0.76994,0.64805,0.55943,0.68384,0.87535,0.000627048,0.000627048,0.000627048
46,594.67,0.77669,0.68478,0.93744,0.78425,0.7693,0.8212,0.69759,0.56332,0.62115,0.87053,0.000616049,0.000616049,0.000616049
47,606.961,0.77029,0.6781,0.93132,0.76214,0.70605,0.7589,0.64436,0.57239,0.72032,0.87218,0.000605051,0.000605051,0.000605051
48,619.914,0.77955,0.68446,0.93851,0.77722,0.74557,0.78861,0.65779,0.59559,0.6641,0.88601,0.000594052,0.000594052,0.000594052
49,632.524,0.75241,0.66665,0.93001,0.78142,0.78276,0.81701,0.68906,0.56719,0.62581,0.87013,0.000583053,0.000583053,0.000583053
50,645.009,0.75445,0.65628,0.93021,0.7556,0.73945,0.78531,0.64457,0.64189,0.73763,0.90131,0.000572054,0.000572054,0.000572054
51,657.118,0.74927,0.65547,0.93411,0.82784,0.707,0.78087,0.66082,0.55796,0.66856,0.87672,0.000561055,0.000561055,0.000561055
