epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.332,1.04628,2.3762,0.98511,0.57201,0.27921,0.41474,0.29122,0.83227,2.71858,0.89789,0.000366772,0.000366772,0.000366772
2,79.6087,0.94047,1.49202,0.95308,0.65752,0.53443,0.51741,0.39378,0.74053,1.10096,0.92141,0.000722511,0.000722511,0.000722511
3,117.41,0.92381,1.20757,0.95695,0.64361,0.48501,0.48962,0.38757,0.6978,1.12128,0.90787,0.00106358,0.00106358,0.00106358
4,155.345,0.86552,1.03207,0.94223,0.75062,0.56842,0.60965,0.48902,0.64568,0.87822,0.88967,0.00104501,0.00104501,0.00104501
5,193.129,0.83961,0.96658,0.93595,0.70378,0.5784,0.59404,0.46161,0.69628,0.90064,0.91832,0.00102301,0.00102301,0.00102301
6,230.873,0.83817,0.90939,0.93774,0.68073,0.5572,0.53066,0.42314,0.72808,1.19846,0.91159,0.00100101,0.00100101,0.00100101
7,268.408,0.81376,0.86664,0.92131,0.71265,0.5542,0.5364,0.43595,0.6479,0.97241,0.89933,0.000979013,0.000979013,0.000979013
8,306.186,0.79635,0.83728,0.92145,0.74218,0.63147,0.64937,0.54146,0.59371,0.7924,0.87934,0.000957015,0.000957015,0.000957015
9,343.938,0.7849,0.81603,0.91952,0.78144,0.61885,0.66292,0.54663,0.6005,0.7503,0.883,0.000935018,0.000935018,0.000935018
10,381.661,0.77807,0.81724,0.91653,0.62244,0.66551,0.68091,0.55626,0.57661,0.69325,0.8771,0.00091302,0.00091302,0.00091302
11,419.019,0.77278,0.79857,0.915,0.69891,0.53654,0.56592,0.46785,0.61359,0.87409,0.8809,0.000891022,0.000891022,0.000891022
12,456.672,0.76652,0.77142,0.91295,0.64089,0.66369,0.66247,0.54289,0.58407,0.75239,0.87968,0.000869024,0.000869024,0.000869024
13,493.687,0.75361,0.75547,0.90767,0.78201,0.62683,0.64273,0.53897,0.54121,0.78649,0.86381,0.000847026,0.000847026,0.000847026
14,531.045,0.75653,0.76125,0.90981,0.81154,0.60927,0.67645,0.57382,0.54513,0.76472,0.86744,0.000825029,0.000825029,0.000825029
15,568.726,0.74353,0.7464,0.90812,0.62355,0.63886,0.63783,0.51008,0.62776,0.80897,0.88717,0.000803031,0.000803031,0.000803031
16,605.682,0.73432,0.72956,0.90723,0.6503,0.61986,0.64102,0.52243,0.60318,0.78044,0.88742,0.000781033,0.000781033,0.000781033
17,643.252,0.73539,0.71897,0.90275,0.67463,0.60317,0.64841,0.53713,0.60304,0.73914,0.88125,0.000759035,0.000759035,0.000759035
18,680.725,0.73462,0.71388,0.90116,0.61717,0.72299,0.67873,0.54774,0.6034,0.67738,0.88122,0.000737037,0.000737037,0.000737037
19,718.45,0.71331,0.70611,0.89633,0.6336,0.71089,0.68687,0.57289,0.56877,0.69682,0.87419,0.00071504,0.00071504,0.00071504
20,755.972,0.71809,0.71047,0.90166,0.68003,0.7418,0.71846,0.61799,0.49963,0.60853,0.85552,0.000693042,0.000693042,0.000693042
21,793.286,0.71628,0.69285,0.89996,0.70026,0.672,0.68882,0.58071,0.5376,0.69895,0.8667,0.000671044,0.000671044,0.000671044
22,830.829,0.69739,0.67642,0.89079,0.77334,0.62493,0.65788,0.56087,0.51931,0.73349,0.85774,0.000649046,0.000649046,0.000649046
23,868.012,0.70409,0.67259,0.89233,0.70172,0.71029,0.71129,0.60407,0.51756,0.61412,0.85828,0.000627048,0.000627048,0.000627048
24,905.416,0.70755,0.67591,0.89369,0.7856,0.65552,0.68519,0.57827,0.52284,0.6695,0.85907,0.000605051,0.000605051,0.000605051
25,943.455,0.69684,0.66322,0.89514,0.65408,0.70052,0.70572,0.61296,0.49666,0.66005,0.85215,0.000583053,0.000583053,0.000583053
26,981.552,0.67926,0.6644,0.88849,0.76303,0.70653,0.70549,0.59675,0.50956,0.63822,0.8559,0.000561055,0.000561055,0.000561055
27,1019.76,0.70316,0.66803,0.89599,0.63396,0.77428,0.73297,0.6326,0.4839,0.59925,0.84667,0.000539057,0.000539057,0.000539057
28,1058.3,0.68637,0.65315,0.89375,0.6016,0.67474,0.67592,0.57394,0.52616,0.7301,0.86345,0.000517059,0.000517059,0.000517059
29,1096.72,0.67265,0.64866,0.88687,0.68827,0.66599,0.68247,0.58635,0.48487,0.63538,0.8505,0.000495062,0.000495062,0.000495062
30,1135.51,0.67733,0.64984,0.88458,0.73243,0.69547,0.72209,0.62591,0.47408,0.59626,0.84711,0.000473064,0.000473064,0.000473064
31,1174.57,0.67169,0.63566,0.8849,0.66674,0.70943,0.72215,0.62448,0.48046,0.58325,0.84533,0.000451066,0.000451066,0.000451066
32,1213.77,0.6599,0.62568,0.88174,0.62264,0.72934,0.6953,0.60247,0.47284,0.6562,0.84759,0.000429068,0.000429068,0.000429068
33,1252.03,0.66554,0.62796,0.88453,0.63871,0.75552,0.7211,0.62599,0.492,0.58646,0.84764,0.00040707,0.00040707,0.00040707
34,1290.31,0.66075,0.62769,0.88385,0.64786,0.71288,0.70655,0.61344,0.47512,0.59938,0.84764,0.000385073,0.000385073,0.000385073
35,1328.74,0.65663,0.6245,0.88387,0.67295,0.74601,0.73069,0.62733,0.47456,0.56686,0.84349,0.000363075,0.000363075,0.000363075
36,1367.67,0.65248,0.60469,0.88147,0.63744,0.74914,0.71446,0.6149,0.47419,0.60145,0.84534,0.000341077,0.000341077,0.000341077
37,1406.85,0.65614,0.61847,0.884,0.68268,0.70891,0.72368,0.63403,0.4552,0.56675,0.84291,0.000319079,0.000319079,0.000319079
38,1445.7,0.64644,0.6063,0.87758,0.69183,0.74533,0.73145,0.63606,0.45648,0.55411,0.84056,0.000297081,0.000297081,0.000297081
39,1484.91,0.64554,0.60323,0.87956,0.72935,0.73143,0.72852,0.64462,0.44883,0.55324,0.83897,0.000275084,0.000275084,0.000275084
40,1524.16,0.64116,0.59529,0.87829,0.74161,0.69937,0.73649,0.63921,0.47107,0.56224,0.84749,0.000253086,0.000253086,0.000253086
41,1568.01,0.58201,0.55872,0.86254,0.63865,0.76604,0.72411,0.63571,0.45132,0.54829,0.83975,0.000231088,0.000231088,0.000231088
42,1605.97,0.5824,0.55128,0.8629,0.68843,0.74816,0.72659,0.63612,0.45422,0.54413,0.84115,0.00020909,0.00020909,0.00020909
43,1643.83,0.58405,0.54197,0.86506,0.62953,0.73579,0.70386,0.61077,0.45755,0.58155,0.84301,0.000187092,0.000187092,0.000187092
44,1681.68,0.57451,0.54277,0.85855,0.69592,0.72319,0.73066,0.62831,0.46656,0.53475,0.84613,0.000165095,0.000165095,0.000165095
45,1720.25,0.57211,0.53667,0.85686,0.68908,0.75063,0.73679,0.6344,0.45728,0.52431,0.84287,0.000143097,0.000143097,0.000143097
46,1758.98,0.56579,0.52071,0.85705,0.67277,0.7554,0.73212,0.6358,0.44615,0.52628,0.83995,0.000121099,0.000121099,0.000121099
47,1797.12,0.56104,0.52263,0.85187,0.67859,0.75298,0.73386,0.64345,0.43903,0.52288,0.83694,9.91012e-05,9.91012e-05,9.91012e-05
48,1835.65,0.56255,0.51804,0.85816,0.67801,0.73262,0.72961,0.63602,0.43919,0.52457,0.83891,7.71034e-05,7.71034e-05,7.71034e-05
49,1872.91,0.55519,0.51237,0.85249,0.66794,0.77134,0.72998,0.63837,0.4322,0.52084,0.83667,5.51056e-05,5.51056e-05,5.51056e-05
50,1909.25,0.55055,0.50814,0.8558,0.65781,0.7981,0.73399,0.64428,0.43296,0.51928,0.83604,3.31078e-05,3.31078e-05,3.31078e-05
