epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1677.66,0.69692,0.66061,0.90918,0.60562,0.73727,0.70813,0.60797,0.4929,0.62616,0.87307,0.007921,0.007921,0.007921
44,1716.41,0.69896,0.66711,0.9114,0.61352,0.75303,0.72882,0.62437,0.49477,0.60412,0.86649,0.0078715,0.0078715,0.0078715
45,1755.15,0.69172,0.66547,0.91088,0.57451,0.65533,0.62668,0.51011,0.57879,0.77942,0.90414,0.007822,0.007822,0.007822
46,1793.71,0.70085,0.66262,0.91413,0.53695,0.64477,0.61427,0.50539,0.57114,0.80648,0.89754,0.0077725,0.0077725,0.0077725
47,1832.09,0.69216,0.6578,0.91041,0.54644,0.69156,0.64005,0.52621,0.57208,0.77251,0.89508,0.007723,0.007723,0.007723
48,1870.52,0.70164,0.66498,0.91397,0.5327,0.57504,0.56863,0.47303,0.55785,0.87251,0.89418,0.0076735,0.0076735,0.0076735
49,1909.3,0.69063,0.64843,0.91108,0.68379,0.70603,0.69901,0.61268,0.46334,0.60758,0.86137,0.007624,0.007624,0.007624
50,1947.93,0.69251,0.65921,0.91063,0.75229,0.69784,0.70858,0.60432,0.49986,0.6468,0.87477,0.0075745,0.0075745,0.0075745
51,1985.97,0.6813,0.64547,0.9109,0.6538,0.70102,0.66236,0.54876,0.52951,0.65995,0.89128,0.007525,0.007525,0.007525
52,2024.56,0.68631,0.63712,0.9101,0.72553,0.68333,0.72364,0.61333,0.48996,0.60115,0.86854,0.0074755,0.0074755,0.0074755
53,2063.37,0.68109,0.65221,0.90583,0.66273,0.65806,0.64418,0.56731,0.46559,0.71248,0.85979,0.007426,0.007426,0.007426
54,2101.8,0.69237,0.65798,0.91508,0.6863,0.612,0.64001,0.53143,0.56268,0.76062,0.89458,0.0073765,0.0073765,0.0073765
55,2139.7,0.66564,0.6417,0.90288,0.60773,0.68114,0.66075,0.57498,0.46701,0.63869,0.86622,0.007327,0.007327,0.007327
56,2178.56,0.68575,0.64098,0.90831,0.72156,0.6923,0.71096,0.61494,0.47569,0.59252,0.86904,0.0072775,0.0072775,0.0072775
57,2217.9,0.67693,0.63481,0.90955,0.8154,0.67572,0.70142,0.59361,0.51255,0.62514,0.87867,0.007228,0.007228,0.007228
58,2257.24,0.67599,0.63613,0.90584,0.65288,0.70156,0.6911,0.60125,0.48216,0.65507,0.86737,0.0071785,0.0071785,0.0071785
59,2296.51,0.66712,0.62962,0.9028,0.70504,0.67521,0.69454,0.5955,0.48666,0.60966,0.86852,0.007129,0.007129,0.007129
60,2336.02,0.67005,0.64459,0.90525,0.77794,0.74486,0.70737,0.6163,0.46128,0.60118,0.85995,0.0070795,0.0070795,0.0070795
61,2374.86,0.68062,0.63402,0.90719,0.66905,0.69604,0.67322,0.58863,0.4607,0.65433,0.8624,0.00703,0.00703,0.00703
62,2413.29,0.67708,0.6262,0.90804,0.64281,0.73677,0.69486,0.60546,0.46701,0.68353,0.86329,0.0069805,0.0069805,0.0069805
63,2451.59,0.66685,0.62361,0.90494,0.75268,0.65896,0.64754,0.55721,0.48256,0.69723,0.86592,0.006931,0.006931,0.006931
64,2490.86,0.66307,0.62283,0.90328,0.64465,0.59946,0.53234,0.45287,0.53254,0.98076,0.87909,0.0068815,0.0068815,0.0068815
65,2529.15,0.66342,0.62349,0.90579,0.72312,0.65594,0.64599,0.55931,0.45632,0.73293,0.85987,0.006832,0.006832,0.006832
66,2567.18,0.66088,0.61996,0.90279,0.64959,0.75764,0.69923,0.60518,0.46894,0.58587,0.86263,0.0067825,0.0067825,0.0067825
67,2605.74,0.66978,0.62627,0.90497,0.64519,0.66359,0.60707,0.53093,0.47277,0.71675,0.86449,0.006733,0.006733,0.006733
68,2644.54,0.66514,0.61433,0.9066,0.62107,0.64081,0.61159,0.52803,0.51123,0.75047,0.86976,0.0066835,0.0066835,0.0066835
69,2683.39,0.65381,0.6125,0.90041,0.72907,0.68954,0.6421,0.56036,0.46328,0.71691,0.86147,0.006634,0.006634,0.006634
70,2723.03,0.65478,0.60475,0.90054,0.70779,0.70378,0.70106,0.61122,0.44366,0.58834,0.86097,0.0065845,0.0065845,0.0065845
71,2761.32,0.66095,0.62378,0.90149,0.73423,0.67912,0.68856,0.58936,0.46868,0.61417,0.86375,0.006535,0.006535,0.006535
72,2799.41,0.65734,0.61268,0.89875,0.70428,0.67668,0.64419,0.55613,0.49075,0.64571,0.87175,0.0064855,0.0064855,0.0064855
73,2837.4,0.65843,0.60844,0.89929,0.78118,0.6858,0.68354,0.6003,0.44597,0.60524,0.85646,0.006436,0.006436,0.006436
74,2875.92,0.6578,0.60585,0.90191,0.78194,0.6979,0.72645,0.62896,0.44927,0.57675,0.85939,0.0063865,0.0063865,0.0063865
75,2913.74,0.65387,0.60765,0.90023,0.70703,0.70822,0.70675,0.61812,0.44793,0.59061,0.85737,0.006337,0.006337,0.006337
76,2952.01,0.64387,0.61332,0.89805,0.67423,0.6081,0.59697,0.51591,0.47631,0.72782,0.86595,0.0062875,0.0062875,0.0062875
