epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3294,1.21788,3.31815,1.0722,0.00907,0.67812,0.21931,0.14248,0.87104,3.57288,0.89686,0.000360838,0.000360838,0.000360838
2,50.851,1.13545,2.07781,1.03603,0.93844,0.11507,0.44809,0.31123,0.96466,2.98497,0.96536,0.000716694,0.000716694,0.000716694
3,64.3678,1.11123,1.75881,1.04332,0.63771,0.60827,0.62564,0.45671,0.89572,1.65803,0.95535,0.00105788,0.00105788,0.00105788
4,77.4716,1.03708,1.50699,1.01843,0.73733,0.56861,0.62887,0.46849,0.84976,1.29957,0.93601,0.00104501,0.00104501,0.00104501
5,91.6899,1.03421,1.39804,1.01264,0.54672,0.57758,0.63705,0.48695,0.7925,1.31577,0.9425,0.00102301,0.00102301,0.00102301
6,104.764,0.98707,1.26941,1.0029,0.65346,0.49292,0.49019,0.36234,0.91763,1.60065,0.98593,0.00100101,0.00100101,0.00100101
7,118.949,0.95147,1.16639,0.98672,0.80007,0.5894,0.69425,0.5284,0.78779,1.06705,0.945,0.000979013,0.000979013,0.000979013
8,132.163,0.9432,1.14431,0.99344,0.67726,0.58921,0.63815,0.50101,0.75749,1.24867,0.91453,0.000957015,0.000957015,0.000957015
9,145.577,0.94643,1.06565,0.99178,0.84087,0.66336,0.72003,0.57984,0.69052,0.9037,0.89524,0.000935018,0.000935018,0.000935018
10,159.754,0.93784,1.02356,0.98925,0.5753,0.66033,0.6863,0.54092,0.76142,1.20207,0.93198,0.00091302,0.00091302,0.00091302
11,173.639,0.90059,0.98325,0.97607,0.80084,0.63493,0.67813,0.53961,0.70296,0.96576,0.91731,0.000891022,0.000891022,0.000891022
12,186.518,0.88626,0.93327,0.97028,0.61901,0.72353,0.73841,0.58116,0.71746,0.95858,0.92086,0.000869024,0.000869024,0.000869024
13,200.511,0.90057,0.92423,0.97447,0.78851,0.6768,0.71589,0.58036,0.67025,0.94515,0.91043,0.000847026,0.000847026,0.000847026
14,213.976,0.87418,0.88548,0.96954,0.67074,0.78741,0.77448,0.62825,0.67229,0.80476,0.89919,0.000825029,0.000825029,0.000825029
15,227.27,0.85015,0.86727,0.95245,0.76904,0.72677,0.76628,0.6163,0.70568,0.8364,0.91027,0.000803031,0.000803031,0.000803031
16,241.046,0.87724,0.87297,0.96326,0.80647,0.70088,0.76211,0.62204,0.67232,0.80726,0.90604,0.000781033,0.000781033,0.000781033
17,254.122,0.83724,0.85649,0.95807,0.71981,0.69829,0.7384,0.60726,0.61195,0.88996,0.88483,0.000759035,0.000759035,0.000759035
18,267.47,0.84856,0.84461,0.96155,0.78736,0.72835,0.78127,0.65267,0.61564,0.78552,0.88075,0.000737037,0.000737037,0.000737037
19,281.195,0.83385,0.80994,0.95481,0.66479,0.76869,0.78847,0.65961,0.61055,0.72935,0.88697,0.00071504,0.00071504,0.00071504
20,294.169,0.84151,0.82289,0.95941,0.68121,0.73073,0.75535,0.62983,0.61498,0.71866,0.87681,0.000693042,0.000693042,0.000693042
21,307.552,0.82134,0.7882,0.94666,0.80112,0.68793,0.73752,0.59446,0.66142,0.83425,0.89665,0.000671044,0.000671044,0.000671044
22,320.782,0.80499,0.76492,0.93981,0.61865,0.51234,0.59389,0.49098,0.68391,1.94857,0.92312,0.000649046,0.000649046,0.000649046
23,333.69,0.809,0.78174,0.95229,0.67353,0.82794,0.79054,0.66773,0.58511,0.67061,0.87582,0.000627048,0.000627048,0.000627048
24,347.588,0.80557,0.75619,0.94944,0.65695,0.7159,0.74394,0.6201,0.64617,0.95729,0.89853,0.000605051,0.000605051,0.000605051
25,360.62,0.80861,0.75224,0.94553,0.72145,0.77834,0.7909,0.63175,0.70301,0.75333,0.90739,0.000583053,0.000583053,0.000583053
26,373.996,0.80473,0.76215,0.94277,0.70539,0.62515,0.68756,0.56544,0.6361,0.91336,0.88933,0.000561055,0.000561055,0.000561055
27,386.928,0.78948,0.73618,0.94052,0.75802,0.7527,0.8033,0.6444,0.69711,0.76123,0.90709,0.000539057,0.000539057,0.000539057
28,400.099,0.78028,0.71726,0.93725,0.7973,0.74096,0.78861,0.66442,0.57946,0.69757,0.87914,0.000517059,0.000517059,0.000517059
29,413.829,0.80904,0.73298,0.94598,0.7016,0.77554,0.7833,0.65589,0.58853,0.69223,0.87451,0.000495062,0.000495062,0.000495062
30,426.97,0.781,0.70511,0.93351,0.70006,0.75935,0.77645,0.65194,0.59013,0.68208,0.86694,0.000473064,0.000473064,0.000473064
31,439.88,0.77555,0.6944,0.9382,0.67047,0.63985,0.70543,0.57966,0.66612,0.94289,0.9173,0.000451066,0.000451066,0.000451066
32,452.966,0.75681,0.68281,0.92001,0.84563,0.74835,0.81548,0.67468,0.59608,0.62651,0.88049,0.000429068,0.000429068,0.000429068
33,465.889,0.77344,0.70571,0.93157,0.66382,0.79642,0.78985,0.67125,0.55383,0.65626,0.86481,0.00040707,0.00040707,0.00040707
34,478.749,0.76854,0.70038,0.9332,0.76425,0.72747,0.7833,0.66145,0.57021,0.64819,0.86956,0.000385073,0.000385073,0.000385073
35,492.474,0.76084,0.675,0.92865,0.66108,0.74639,0.76144,0.6373,0.56666,0.72502,0.87402,0.000363075,0.000363075,0.000363075
36,505.143,0.75385,0.68283,0.92515,0.7159,0.76123,0.77834,0.66142,0.54152,0.66601,0.86084,0.000341077,0.000341077,0.000341077
37,518.497,0.75786,0.6724,0.92737,0.72081,0.85901,0.83889,0.71397,0.54375,0.59234,0.86337,0.000319079,0.000319079,0.000319079
38,531.44,0.74588,0.6673,0.92817,0.76084,0.75114,0.75743,0.64285,0.55344,0.69366,0.86131,0.000297081,0.000297081,0.000297081
39,544.092,0.75399,0.66578,0.92663,0.73666,0.83509,0.82434,0.70105,0.55037,0.61422,0.86293,0.000275084,0.000275084,0.000275084
40,557.014,0.74081,0.64454,0.92061,0.81711,0.74689,0.82816,0.69715,0.56569,0.65093,0.86656,0.000253086,0.000253086,0.000253086
41,576.876,0.6816,0.61781,0.90292,0.74997,0.82357,0.82141,0.70585,0.51952,0.57756,0.85613,0.000231088,0.000231088,0.000231088
42,589.78,0.67847,0.58971,0.90373,0.76112,0.76839,0.7938,0.66987,0.54556,0.61288,0.85901,0.00020909,0.00020909,0.00020909
43,602.637,0.66759,0.57978,0.90145,0.82975,0.76769,0.83516,0.71866,0.52705,0.57801,0.85524,0.000187092,0.000187092,0.000187092
44,616.059,0.64005,0.55591,0.89515,0.83101,0.78503,0.84318,0.71433,0.53577,0.58173,0.85884,0.000165095,0.000165095,0.000165095
45,629.343,0.6382,0.55754,0.88753,0.79402,0.79805,0.846,0.71541,0.55422,0.58773,0.86165,0.000143097,0.000143097,0.000143097
46,642.718,0.65083,0.55714,0.89596,0.82414,0.80624,0.84629,0.72104,0.54939,0.56417,0.8588,0.000121099,0.000121099,0.000121099
47,655.585,0.63339,0.54841,0.89605,0.81488,0.8187,0.84601,0.72687,0.52777,0.55517,0.85474,9.91012e-05,9.91012e-05,9.91012e-05
48,668.818,0.63328,0.54707,0.88374,0.81528,0.8064,0.85031,0.71875,0.55158,0.55896,0.85936,7.71034e-05,7.71034e-05,7.71034e-05
49,682.498,0.63915,0.53784,0.88928,0.77775,0.86017,0.85563,0.73077,0.53085,0.54889,0.85474,5.51056e-05,5.51056e-05,5.51056e-05
50,695.062,0.63553,0.53666,0.88727,0.80754,0.81681,0.85246,0.72933,0.53315,0.54553,0.85578,3.31078e-05,3.31078e-05,3.31078e-05
