epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.1728,0.91604,1.36282,0.97362,0.73587,0.54073,0.54212,0.41085,0.77544,1.25702,0.95788,0.000369439,0.000369439,0.000369439
2,190.074,0.93259,1.10429,1.00807,0.72291,0.55065,0.56642,0.43793,0.68081,1.03942,0.94871,0.000732448,0.000732448,0.000732448
3,284.768,0.94128,1.05565,1.01773,0.60374,0.46877,0.42716,0.32715,0.73378,1.33958,1.00198,0.00108813,0.00108813,0.00108813
4,378.489,0.90536,1.00992,1.01118,0.60303,0.61944,0.57967,0.45336,0.66564,0.92883,0.95596,0.001078,0.001078,0.001078
5,473.031,0.85499,0.93346,0.99289,0.62472,0.56173,0.54455,0.4248,0.67963,1.05916,0.96866,0.001067,0.001067,0.001067
6,566.739,0.83174,0.90354,0.98045,0.24244,0.07323,0.07231,0.04698,1.72603,3.72264,1.72056,0.00105601,0.00105601,0.00105601
7,660.574,0.8099,0.87465,0.97651,0.67455,0.53385,0.58041,0.4677,0.57581,1.02856,0.9181,0.00104501,0.00104501,0.00104501
8,755.307,0.78779,0.84935,0.96279,0.79854,0.55293,0.65868,0.54006,0.56574,0.85776,0.91345,0.00103401,0.00103401,0.00103401
9,849.503,0.7725,0.83068,0.96192,0.73673,0.53935,0.58687,0.47065,0.59048,0.9158,0.92844,0.00102301,0.00102301,0.00102301
10,943.052,0.7602,0.79974,0.96094,0.65307,0.57451,0.58975,0.50145,0.52294,0.96395,0.9032,0.00101201,0.00101201,0.00101201
11,1036.91,0.75006,0.78463,0.95231,0.79683,0.57807,0.66917,0.56751,0.52061,0.80367,0.89371,0.00100101,0.00100101,0.00100101
12,1131.12,0.74502,0.76612,0.95227,0.71466,0.64881,0.68208,0.5749,0.51529,0.75508,0.9015,0.000990012,0.000990012,0.000990012
13,1225.4,0.73581,0.75748,0.94798,0.64523,0.64826,0.63522,0.50627,0.65492,1.02554,0.94989,0.000979013,0.000979013,0.000979013
14,1319.11,0.72968,0.74272,0.95208,0.70044,0.62244,0.63035,0.50964,0.64153,0.77966,0.95033,0.000968014,0.000968014,0.000968014
15,1412.63,0.73267,0.73652,0.94899,0.71627,0.5915,0.62043,0.51102,0.56848,0.91237,0.92163,0.000957015,0.000957015,0.000957015
16,1505.98,0.71741,0.72159,0.94496,0.32108,0.39014,0.28441,0.19853,1.02362,2.08857,1.1734,0.000946016,0.000946016,0.000946016
17,1599.64,0.7177,0.72919,0.94307,0.8005,0.55081,0.64149,0.53188,0.5274,0.77507,0.90299,0.000935018,0.000935018,0.000935018
18,1693.2,0.69871,0.70675,0.93607,0.78497,0.6052,0.66552,0.56292,0.53404,0.70652,0.90543,0.000924019,0.000924019,0.000924019
19,1787.2,0.71273,0.71849,0.94201,0.79871,0.65117,0.71645,0.62151,0.4713,0.63329,0.88205,0.00091302,0.00091302,0.00091302
20,1881.41,0.69067,0.69701,0.92908,0.76302,0.61664,0.65856,0.55215,0.57521,0.86857,0.91661,0.000902021,0.000902021,0.000902021
21,1975.02,0.68725,0.70772,0.9335,0.76347,0.59707,0.62191,0.52105,0.54204,0.69891,0.91881,0.000891022,0.000891022,0.000891022
22,2069.33,0.67837,0.68505,0.92848,0.72048,0.51757,0.6055,0.52127,0.48883,0.91618,0.88965,0.000880023,0.000880023,0.000880023
23,2162.94,0.68634,0.69292,0.93011,0.75044,0.61391,0.62827,0.54344,0.48101,0.70124,0.88464,0.000869024,0.000869024,0.000869024
24,2256.42,0.68258,0.67402,0.92676,0.67006,0.53601,0.54523,0.46984,0.5222,0.87867,0.89237,0.000858025,0.000858025,0.000858025
25,2350.18,0.6708,0.65891,0.92484,0.82045,0.63375,0.69547,0.60586,0.45495,0.63171,0.8797,0.000847026,0.000847026,0.000847026
26,2443.61,0.65943,0.65333,0.92512,0.77811,0.63003,0.66144,0.58205,0.44264,0.62452,0.86948,0.000836027,0.000836027,0.000836027
27,2537.13,0.65843,0.64108,0.91878,0.77512,0.61489,0.6568,0.55995,0.51106,0.68022,0.89937,0.000825029,0.000825029,0.000825029
28,2631.14,0.652,0.65013,0.91592,0.65487,0.59947,0.55826,0.48461,0.49127,0.82459,0.89018,0.00081403,0.00081403,0.00081403
