epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.393,0.91604,1.36282,0.97362,0.73587,0.54073,0.54212,0.41085,0.77544,1.25702,0.95788,0.000369439,0.000369439,0.000369439
2,215.885,0.93566,1.0971,1.00752,0.73728,0.51417,0.54315,0.40377,0.6851,1.01038,0.95745,0.000725125,0.000725125,0.000725125
3,319.756,0.92116,1.03819,1.00833,0.69229,0.44479,0.48157,0.31311,0.91648,1.17395,1.12086,0.00106615,0.00106615,0.00106615
4,423.515,0.8938,1.00574,1.0029,0.6823,0.55361,0.56944,0.42591,0.67616,1.06708,0.96571,0.00104501,0.00104501,0.00104501
5,529.289,0.85073,0.92532,0.99061,0.68523,0.52663,0.5612,0.46827,0.58936,0.86741,0.91381,0.00102301,0.00102301,0.00102301
6,636.321,0.81841,0.89284,0.97556,0.71218,0.50419,0.53969,0.39159,0.96094,1.09053,1.04055,0.00100101,0.00100101,0.00100101
7,744.52,0.8044,0.86412,0.97266,0.69311,0.59257,0.60118,0.50479,0.56018,0.98227,0.90812,0.000979013,0.000979013,0.000979013
8,850.903,0.77484,0.83272,0.95856,0.77832,0.62818,0.69167,0.56894,0.54206,0.80221,0.91695,0.000957015,0.000957015,0.000957015
9,956.348,0.75689,0.80597,0.9579,0.81376,0.62285,0.66659,0.56307,0.51028,0.71602,0.89489,0.000935018,0.000935018,0.000935018
10,1061.29,0.74614,0.7874,0.95282,0.67141,0.65602,0.64413,0.53741,0.52107,0.71749,0.89942,0.00091302,0.00091302,0.00091302
11,1169.14,0.74283,0.77807,0.95023,0.79682,0.59132,0.6716,0.5831,0.46973,0.66756,0.87891,0.000891022,0.000891022,0.000891022
12,1278.71,0.73058,0.75247,0.94639,0.72189,0.63894,0.66488,0.54296,0.57684,0.83897,0.91854,0.000869024,0.000869024,0.000869024
13,1386.4,0.72659,0.74638,0.94442,0.72949,0.61247,0.67182,0.56575,0.54129,0.92959,0.90106,0.000847026,0.000847026,0.000847026
14,1495.3,0.70639,0.73287,0.94399,0.72022,0.62986,0.63637,0.54045,0.49579,0.90349,0.89567,0.000825029,0.000825029,0.000825029
15,1602.93,0.71871,0.7195,0.94234,0.77104,0.63299,0.69889,0.57391,0.5501,0.75015,0.92615,0.000803031,0.000803031,0.000803031
16,1709.03,0.70952,0.7039,0.94335,0.70691,0.59337,0.591,0.50644,0.50618,0.88361,0.89478,0.000781033,0.000781033,0.000781033
17,1813.45,0.70173,0.70858,0.93896,0.82506,0.63722,0.70093,0.6099,0.45799,0.66745,0.87707,0.000759035,0.000759035,0.000759035
18,1920.4,0.68553,0.68987,0.93219,0.81081,0.56541,0.66564,0.55162,0.53611,0.70554,0.90792,0.000737037,0.000737037,0.000737037
19,2023.88,0.69219,0.70267,0.93468,0.72845,0.60166,0.62307,0.54044,0.46219,0.7123,0.87482,0.00071504,0.00071504,0.00071504
20,2129.16,0.67349,0.6774,0.92459,0.77201,0.61366,0.64776,0.56604,0.4568,0.73019,0.87777,0.000693042,0.000693042,0.000693042
21,2235.2,0.66504,0.6714,0.92554,0.74012,0.55082,0.59878,0.49523,0.58531,0.87645,0.92308,0.000671044,0.000671044,0.000671044
22,2338,0.6623,0.66828,0.92228,0.71791,0.60695,0.60567,0.53102,0.45847,0.81417,0.8789,0.000649046,0.000649046,0.000649046
23,2441.14,0.66398,0.66316,0.92227,0.76764,0.68795,0.69361,0.61185,0.42779,0.6086,0.86915,0.000627048,0.000627048,0.000627048
24,2544.75,0.66121,0.64789,0.92171,0.65418,0.59943,0.59138,0.51093,0.53007,0.86743,0.89792,0.000605051,0.000605051,0.000605051
25,2648.85,0.64718,0.63334,0.91796,0.77183,0.65099,0.67148,0.59254,0.43198,0.72039,0.87012,0.000583053,0.000583053,0.000583053
26,2748.86,0.63648,0.62652,0.91503,0.77954,0.65721,0.68255,0.59717,0.46542,0.63249,0.87808,0.000561055,0.000561055,0.000561055
27,2844.45,0.63624,0.61838,0.91204,0.70367,0.57893,0.62704,0.53548,0.5233,0.86203,0.90388,0.000539057,0.000539057,0.000539057
28,2938.29,0.62782,0.61928,0.90713,0.72851,0.549,0.65459,0.53603,0.64011,1.01757,0.92705,0.000517059,0.000517059,0.000517059
29,3031.97,0.62219,0.60541,0.91109,0.71492,0.73192,0.68821,0.59492,0.46652,0.58956,0.88011,0.000495062,0.000495062,0.000495062
30,3125.57,0.61503,0.60723,0.91007,0.77545,0.65188,0.68218,0.5943,0.44187,0.68484,0.87228,0.000473064,0.000473064,0.000473064
31,3218.89,0.61665,0.59037,0.90869,0.6274,0.70461,0.69712,0.61641,0.42567,0.58786,0.86597,0.000451066,0.000451066,0.000451066
32,3313.14,0.6255,0.6031,0.90815,0.69188,0.6896,0.70796,0.62828,0.42587,0.60249,0.86439,0.000429068,0.000429068,0.000429068
33,3407.46,0.61136,0.59455,0.90151,0.8207,0.68513,0.70473,0.62564,0.40861,0.57074,0.86568,0.00040707,0.00040707,0.00040707
34,3501.1,0.6042,0.59098,0.90971,0.77595,0.6291,0.66679,0.59617,0.40554,0.65841,0.86102,0.000385073,0.000385073,0.000385073
35,3594.63,0.60294,0.58329,0.90238,0.6223,0.72482,0.67701,0.59882,0.40394,0.63542,0.8612,0.000363075,0.000363075,0.000363075
36,3688.57,0.6015,0.57531,0.89864,0.65552,0.6703,0.69181,0.62405,0.40991,0.6528,0.85676,0.000341077,0.000341077,0.000341077
37,3782.3,0.59317,0.57702,0.89827,0.6386,0.75022,0.70596,0.62421,0.41709,0.59184,0.861,0.000319079,0.000319079,0.000319079
